column,dtype,missing_count,coverage_pct,unique_count
KEY,str,0,100.0,21661
TIPO,str,0,100.0,2
TITULO,str,0,100.0,21661
NUMACORDAO,str,0,100.0,10520
ANOACORDAO,str,0,100.0,1
NUMATA,str,22,99.9,49
COLEGIADO,str,0,100.0,3
DATASESSAO,str,0,100.0,89
RELATOR,str,22,99.9,12
SITUACAO,str,0,100.0,3
PROC,str,22,99.9,20528
ACORDAOSRELACIONADOS,str,21268,1.81,393
TIPOPROCESSO,str,26,99.88,34
INTERESSADOS,str,942,95.65,19731
ENTIDADE,str,113,99.48,4325
RELATORDELIBERACAORECORRIDA,str,19161,11.54,64
MINISTROREVISOR,str,21605,0.26,20
MINISTROAUTORVOTOVENCEDOR,str,27,99.88,12
REPRESENTANTEMP,str,36,99.83,85
UNIDADETECNICA,str,45,99.79,214
ADVOGADO,str,34,99.84,4399
ASSUNTO,str,22,99.9,9076
SUMARIO,str,15815,26.99,5106
ACORDAO,str,23,99.89,21624
DECISAO,str,21661,0.0,0
QUORUM,str,15829,26.92,826
MINISTROALEGOUIMPEDIMENTOSESSAO,str,21515,0.67,16
RECURSOS,str,20419,5.73,1242
RELATORIO,str,15829,26.92,5824
VOTO,str,15829,26.92,5827
DECLARACAOVOTO,str,21611,0.23,50
VOTOCOMPLEMENTAR,str,21629,0.15,32
VOTOMINISTROREVISOR,str,21612,0.23,49
